lat,lon,population,original_population,renewable_cost,storage_cost,electrical_storage_cost,thermal_storage_cost,lng_cost,other_equipment_cost,discard_cost,load_shedding_cost,renewable_cost_per_capita,storage_cost_per_capita,electrical_storage_cost_per_capita,thermal_storage_cost_per_capita,lng_cost_per_capita,other_equipment_cost_per_capita,discard_cost_per_capita,load_shedding_cost_per_capita,renewable_investment,renewable_om,storage_investment,storage_om,electrical_storage_investment,electrical_storage_om,thermal_storage_investment,thermal_storage_om,other_investment,other_om,lng_investment,lng_om,lng_purchase,IPCC_Region_Name,IPCC_Region_Code,Continent
-0.030217,103.626017,235,235,90724.2623839502,35568.7768324902,15441.694710391499,20127.0821220987,0.0,2336.95765041527,131.44098030037827,0.349964999993535,386.0606909955328,151.35649715953275,65.70933919315532,85.64715796637745,0.0,9.944500640064978,0.5593233204271416,0.001489212765929936,58440.690734421616,32283.571649528592,26924.16865297404,8644.60817951616,11430.988892169615,4010.705818221884,15493.179760804425,4633.9023612942765,1870.6972084397094,466.26044197556075,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.035119,103.659208,59,59,25381.0088843529,3920.9091987772117,0.0,3920.9091987772117,0.0,516.5389620109967,0.0,0.0,430.1865912602187,66.456088114868,0.0,66.456088114868,0.0,8.754897661203334,0.0,0.0,15866.100464983007,9514.908419369893,3018.189654810864,902.7195439663478,0.0,0.0,3018.189654810864,902.7195439663478,413.4811746000661,103.05778741093056,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.045282,130.124424,218,218,91967.08514296608,17915.42440619078,0.0,17915.42440619078,0.0,1964.0507694265025,0.0,0.0,421.86736304112884,82.18084589995772,0.0,82.18084589995772,0.0,9.00940719920414,0.0,0.0,57678.06288551274,34289.02225745334,13790.716862602738,4124.707543588044,0.0,0.0,13790.716862602738,4124.707543588044,1572.1912166218062,391.85955280469614,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.061393,98.276855,500,3977,214604.88118464354,41982.036345348846,0.0,41982.036345348846,0.0,4971.677533665049,0.0,0.0,429.2097623692871,83.96407269069769,0.0,83.96407269069769,0.0,9.943355067330097,0.0,0.0,135401.46905338642,79203.41213125714,32316.419830620336,9665.61651472851,0.0,0.0,32316.419830620336,9665.61651472851,3979.748320144764,991.9292135202846,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.074667,98.326246,500,556,214720.35741942766,42062.611256754026,0.0,42062.611256754026,0.0,4964.750970923621,0.0,0.0,429.44071483885534,84.12522251350805,0.0,84.12522251350805,0.0,9.929501941847242,0.0,0.0,135499.91030403465,79220.44711539302,32378.443803049046,9684.167453704984,0.0,0.0,32378.443803049046,9684.167453704984,3974.2037174934626,990.5472534301582,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100428,129.466226,500,2067,210818.02320274993,41276.139599922266,0.0,41276.139599922266,0.0,4578.0447154328995,0.0,0.0,421.6360464054999,82.55227919984453,0.0,82.55227919984453,0.0,9.1560894308658,0.0,0.0,132224.80644937116,78593.21675337877,31773.043244629618,9503.096355292648,0.0,0.0,31773.043244629618,9503.096355292648,3664.651547173167,913.3931682597325,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100626,103.536773,500,6890,96372.47888688871,20900.072778798523,11993.468394448395,8906.604384350128,151868.9666151031,67349.62641248123,2964.986693630233,0.949924999984708,192.74495777377743,41.80014555759705,23.98693678889679,17.813208768700257,303.7379332302062,134.69925282496246,5.929973387260466,0.001899849999969416,62039.55652136604,34332.92236552268,15628.361160532235,5271.711618266287,8772.343882518733,3221.124511929661,6856.017278013502,2050.5871063366258,47035.220402516454,20314.406009964776,7869.99942985928,1961.551765811523,142037.4154194323,S.E.Asia,SEA,ASIA
-0.107722,127.241703,167,167,70727.21194104443,13998.038869893222,0.0,13998.038869893222,0.0,1564.8426588137122,0.0,0.0,423.51623916793073,83.82059203528875,0.0,83.82059203528875,0.0,9.370315322237797,0.0,0.0,44438.663018960404,26288.548922084028,10775.23960971295,3222.7992601802716,0.0,0.0,10775.23960971295,3222.7992601802716,1252.6315113027417,312.2111475109706,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.128063,109.15734,131,131,54181.15536561756,8677.789227045407,11.57402519327794,8666.215201852128,0.0,1091.3652946972963,0.009294119897174,0.0,413.5966058444089,66.24266585530845,0.08835133735326672,66.15431451795517,0.0,8.331032783948826,7.094748013109924e-05,0.0,33798.31764815438,20382.837717463182,6679.497569853114,1998.2916571922924,8.524144415992083,3.049880777285856,6670.973425437122,1995.2417764150066,873.6204568428634,217.7448378544329,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.158715,98.450703,500,3518,215045.04999042425,42265.55994192195,0.0,42265.55994192195,0.0,5000.175250186361,0.0,0.0,430.0900999808485,84.5311198838439,0.0,84.5311198838439,0.0,10.000350500372722,0.0,0.0,135774.52387806826,79270.526112356,32534.667166299158,9730.892775622791,0.0,0.0,32534.667166299158,9730.892775622791,4002.5602862639844,997.614963922377,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
