ID,Long,Lat,Country,Island,pop,geometry
988,-68.960532,-55.246549,Chile,Isla Hoste,129.0,POINT (-68.960532 -55.246549)
1028,-67.644515,-55.084701,Chile,Isla Navarino,1682.0,POINT (-67.644515 -55.084701)
1152,-64.315773,-54.798325,Argentina,Isla de los Estados,240.0,POINT (-64.315773 -54.798325)
2147,-70.595284,-53.964415,Chile,Isla Dawson,129.0,POINT (-70.595284 -53.964415)
3007,-68.677673,-54.054777,Argentina; Chile,Isla Tierra del Fuego,167448.0,POINT (-68.677673 -54.054777)
4319,-60.111132,-51.750925,Falkland Islands,Half Tide Island,257.0,POINT (-60.111132 -51.750925)
4394,-58.75274,-51.740234,Falkland Islands,North Island,2564.0,POINT (-58.75274 -51.740234)
4660,-75.314895,-50.615007,Chile,Isla Duque de York,55.0,POINT (-75.314895 -50.615007)
4703,-75.353661,-50.390018,Chile,Isla Guarello,84.0,POINT (-75.353661 -50.390018)
4827,-75.15757,-50.232707,Chile,Isla Madre de Dios,305.0,POINT (-75.15757 -50.232707)
4997,-75.395651,-49.727178,Chile,Islote Zero,80.0,POINT (-75.395651 -49.727178)
5437,-74.784839,-49.39427,Chile,Isla Wellington,88.0,POINT (-74.784839 -49.39427)
6242,-73.662076,-45.58742,Chile,Isla Traiguen,197.0,POINT (-73.662076 -45.58742)
6535,-73.919436,-45.128193,Chile,Isla Melchor,82.0,POINT (-73.919436 -45.128193)
7166,-73.805109,-43.873289,Chile,Isla Ascension,1309.0,POINT (-73.805109 -43.873289)
7217,-74.708425,-43.602388,Chile,Isla Guafo,615.0,POINT (-74.708425 -43.602388)
7260,-74.262261,-43.39073,Chile,Isla Quilan,76.0,POINT (-74.262261 -43.39073)
7264,-73.734572,-43.355868,Chile,Isla San Pedro,177.0,POINT (-73.734572 -43.355868)
7267,-73.697673,-43.208407,Chile,Isla Coldita,204.0,POINT (-73.697673 -43.208407)
7268,-73.607732,-43.221048,Chile,Isla Laitec,182.0,POINT (-73.607732 -43.221048)
7279,-73.467764,-42.962449,Chile,Isla Tranqui,1321.0,POINT (-73.467764 -42.962449)
7290,-73.287324,-42.641916,Chile,Isla Chaulinec,336.0,POINT (-73.287324 -42.641916)
7292,-73.48501,-42.627017,Chile,Isla Quehui,291.0,POINT (-73.48501 -42.627017)
7293,-73.029603,-42.618345,Chile,Isla Chulin,73.0,POINT (-73.029603 -42.618345)
7300,-73.637015,-42.626536,Chile,Isla Lemuy,3785.0,POINT (-73.637015 -42.626536)
7301,-73.217954,-42.60068,Chile,Isla Apiao,419.0,POINT (-73.217954 -42.60068)
7303,-73.518318,-42.576544,Chile,Isla Chelin,511.0,POINT (-73.518318 -42.576544)
7306,-73.266088,-42.488425,Chile,Isla Caguache,243.0,POINT (-73.266088 -42.488425)
7308,-73.344718,-42.471847,Chile,Isla Quenac,388.0,POINT (-73.344718 -42.471847)
7313,-73.307455,-42.41819,Chile,Isla Meulin,284.0,POINT (-73.307455 -42.41819)
7314,-73.533591,-42.459181,Chile,Isla Quinchao,9953.0,POINT (-73.533591 -42.459181)
7317,-73.436949,-42.38587,Chile,Isla Linlin,225.0,POINT (-73.436949 -42.38587)
7333,-73.271558,-42.302504,Chile,Isla Mechuque,154.0,POINT (-73.271558 -42.302504)
7338,-73.110327,-42.2942,Chile,Isla Buta Chauques,457.0,POINT (-73.110327 -42.2942)
7348,-73.395889,-42.147317,Chile,Isla Caucahue,526.0,POINT (-73.395889 -42.147317)
7384,-73.867497,-42.616831,Chile,Isla Chiloe,143230.0,POINT (-73.867497 -42.616831)
7717,-73.913227,-38.370407,Chile,Isla Mocha,280.0,POINT (-73.913227 -38.370407)
7733,-12.285103,-37.112443,Saint Helena,Tristan da Cunha,321.0,POINT (-12.285103 -37.112443)
7735,-73.522026,-37.02628,Chile,Isla Santa Maria,1992.0,POINT (-73.522026 -37.02628)
7803,-80.79197,-33.767484,Chile,Isla Alejandro Selkirk,473.0,POINT (-80.79197 -33.767484)
7806,-78.848984,-33.647829,Chile,Isla Robinson Crusoe,414.0,POINT (-78.848984 -33.647829)
8128,-44.238735,-23.155168,Brazil,Ilha Grande,6113.0,POINT (-44.238735 -23.155168)
8452,-14.367031,-7.943513,Saint Helena,Ascension Island,1077.0,POINT (-14.367031 -7.943513)
8489,-32.425866,-3.856477,Brazil,Ilha de Fernando de Noronha,2678.0,POINT (-32.425866 -3.856477)
8570,-109.354722,-27.119698,Chile,Isla de Pascua,7834.0,POINT (-109.354722 -27.119698)
8589,-147.660436,-23.86732,French Polynesia,Raivavae,1491.0,POINT (-147.660436 -23.86732)
8593,-149.479618,-23.3726,French Polynesia,Tubuai,1996.0,POINT (-149.479618 -23.3726)
8615,-134.970757,-23.109741,French Polynesia,Ile Mangareva,83.0,POINT (-134.970757 -23.109741)
8621,-151.345841,-22.474926,French Polynesia,Rurutu,872.0,POINT (-151.345841 -22.474926)
8623,-157.91943,-21.928127,Cook Islands,Mangaia,237.0,POINT (-157.91943 -21.928127)
8640,-140.623949,-21.691607,French Polynesia,,103.0,POINT (-140.623949 -21.691607)
8652,-174.932571,-21.375878,Tonga,`Eua Island,4700.0,POINT (-174.932571 -21.375878)
8654,-159.777546,-21.234623,Cook Islands,Rarotonga,5253.0,POINT (-159.777546 -21.234623)
8669,-175.191861,-21.174082,Tonga,Tongatapu Island,74571.0,POINT (-175.191861 -21.174082)
8702,-157.341429,-20.16117,Cook Islands,Mauke,150.0,POINT (-157.341429 -20.16117)
8715,-158.114432,-19.995684,Cook Islands,Atiu,221.0,POINT (-158.114432 -19.995684)
8737,-157.702198,-19.867127,Cook Islands,Mitiaro,58.0,POINT (-157.702198 -19.867127)
8777,-178.409686,-19.147765,Fiji,Ongea Levu,175.0,POINT (-178.409686 -19.147765)
8782,-178.580599,-19.141772,Fiji,Nasuthu Island,122.0,POINT (-178.580599 -19.141772)
8789,-169.858549,-19.052414,Niue,Niue Island,1757.0,POINT (-169.858549 -19.052414)
8801,-178.95483,-18.955142,Fiji,Kambara Island,183.0,POINT (-178.95483 -18.955142)
8813,-178.634073,-18.849543,Fiji,Namuka-i-Lau,135.0,POINT (-178.634073 -18.849543)
8815,-159.782281,-18.859128,Cook Islands,Aitutaki,707.0,POINT (-159.782281 -18.859128)
8891,-173.983608,-18.626123,Tonga,Vava`u Island,12091.0,POINT (-173.983608 -18.626123)
8937,-178.789865,-18.211093,Fiji,Lakemba Island,542.0,POINT (-178.789865 -18.211093)
